threads,power,execution_time,mean_cycles,min_cycles,max_cycles
25,196.209,10.006909960,24756188913.12,-1388865051.119999,5147585846.880001
25,196.256,10.004760978,24769124939.72,-1410398400.7200012,5137952992.279999
25,195.775,10.005267287,24793910651.04,-1476655423.040001,5143487890.959999
26,196.774,10.004788918,24960275535.96154,-1644988998.9615402,5047087760.03846
26,196.964,10.004931338,24947011284.0,-1636453297.0,4937940722.0
26,196.335,10.005603925,24948361198.423077,-1625584051.4230766,4931952973.576923
26,195.896,10.004800552,24940199202.307693,-1635467918.3076935,4904429123.6923065
26,195.131,10.006947089,24946310004.76923,-1632144237.76923,4951882793.23077
26,204.653,10.004906741,24953393951.846153,-1596990844.8461533,4935473286.153847
26,203.988,10.005095938,24954768062.923077,-1644223421.9230766,4877769497.076923
26,204.238,10.004958950,24946934115.53846,-1654687804.5384598,4922826183.46154
26,201.988,10.005699165,24969519830.423077,-1585277745.4230766,4913779719.576923
26,201.851,10.004996099,24951226687.192307,-1555370920.1923065,4923940464.8076935
27,202.876,10.007277217,24910364748.0,-1705287468.0,3245398904.0
27,201.604,10.004927098,24900539961.62963,-1728025939.629631,3256996326.370369
27,203.049,10.004978474,24902669944.074074,-1687883193.0740738,3250962697.925926
27,202.156,10.004974671,24919713759.48148,-1704631691.4814796,3240502820.5185204
27,210.614,10.005007182,24902866377.444443,-1661546742.4444427,3263636246.5555573
27,210.936,10.004954913,24901537749.25926,-1678911411.2592583,3266174078.7407417
27,210.027,10.005513934,24907195658.22222,-1729151774.2222214,3242370821.7777786
27,209.978,10.006450733,24910692619.555557,-1679122023.5555573,3256381915.4444427
27,209.821,10.004926590,24893130115.62963,-1621642180.629631,3273113414.370369
27,209.617,10.005006963,24903725512.037037,-1726933035.037037,3259501077.962963
28,181.651,10.005383007,25548202115.107143,-97366751.1071434,2486328991.8928566
28,181.629,10.004908422,25453151296.785713,-3023888.785713196,6374647.214286804
28,181.157,10.004820466,25457286864.107143,-6765431.107143402,90747871.8928566
28,181.168,10.006519646,25453155739.857143,-2859805.857143402,4874931.142856598
28,180.628,10.006804864,25453667287.964287,-4235499.964286804,5724771.035713196
28,180.28,10.005518915,26364860769.107143,-913589760.1071434,24524461918.892857
28,180.223,10.004771088,25453635893.464287,-3083043.464286804,11151553.535713196
28,188.036,10.005116930,25457795245.857143,-7186650.857143402,101151248.1428566
28,187.213,10.005330436,25453075977.25,-2811554.25,5832762.75
28,187.255,10.004874906,25453456538.285713,-3462110.285713196,5557581.714286804
29,186.165,10.004932013,25470217272.62069,-20805239.620689392,465001621.3793106
29,185.511,10.005114095,25453709639.724136,-3339655.7241363525,10353546.275863647
29,184.726,10.004935602,25456758838.24138,-7103109.241378784,80701958.75862122
29,184.339,10.006425547,25455923149.37931,-6250949.379310608,22720457.620689392
29,183.927,10.004920136,25453200385.275864,-3972588.2758636475,10747131.724136353
29,183.748,10.004873142,25453331663.103447,-3537836.1034469604,9193366.89655304
29,183.42,10.004953486,25453292124.206898,-3320850.2068977356,7961520.793102264
29,183.132,10.005132783,25453036703.275864,-2761025.2758636475,7468102.724136353
29,182.952,10.005278879,25454070267.24138,-4463559.241378784,12611857.758621216
29,183.188,10.005063761,25452817454.344826,-3528690.3448257446,4715542.655174255
30,190.597,10.005049145,25453152119.7,-3645677.700000763,8123004.299999237
30,190.253,10.005476628,25458622417.4,-8625519.400001526,77715283.59999847
30,188.169,10.004756643,25453146600.633335,-4478262.6333351135,8316754.3666648865
30,189.037,10.005088006,25621598264.566666,-172790997.56666565,4860061013.433334
30,187.513,10.004893666,25453557826.933334,-4019537.9333343506,17800779.06666565
30,187.047,10.005110705,25453825084.733334,-4261042.733333588,18706202.266666412
30,186.178,10.007198249,25462840539.7,-12135764.700000763,111911566.29999924
30,186.698,10.006641471,25453059183.333332,-3770362.333332062,11095078.666667938
30,186.394,10.005081388,25452897510.933334,-3940469.9333343506,4242842.066665649
30,186.563,10.005208135,25453134357.3,-3878790.299999237,6474894.700000763
31,193.438,10.005147444,25454199925.903225,-5264953.903224945,32144606.096775055
31,193.054,10.005147745,25453932982.032257,-5773041.03225708,24005043.96774292
31,193.211,10.005552452,25453304829.129032,-4462480.129032135,12041043.870967865
